"","Realm_GETL1","Code","Biome..GET.L3._Ecosystem_Fuctional_Groups..GET.Level.3.","EcosystemType_GETLevel5_6","RLE_2025","EPL_2025","IUCN_GET_2025_L2","IUCN_GET_2022_L3","GET_L2.text","GET_L3.text"
"114","Terrestrial","FFh9","Fynbos","Garden Route Shale Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"115","Terrestrial","FFh11","Fynbos","Peninsula Shale Fynbos","CR","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"116","Terrestrial","FFh7","Fynbos","Greyton Shale Fynbos","CR","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"117","Terrestrial","FFs30","Fynbos","Western Altimontane Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"118","Terrestrial","NKb4","Nama-Karoo","Bushmanland Sandy Grassland","LC","NP","T5","T5.1","Deserts and semi-deserts","Semi-desert steppes"
"119","Terrestrial","FRs15","Fynbos","Swartberg Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"120","Terrestrial","FRs17","Fynbos","Langkloof Shale Renosterveld","EN","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"121","Terrestrial","FRs16","Fynbos","Uniondale Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"122","Terrestrial","SVl12","Savanna","Kaalrug Mountain Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"123","Terrestrial","SKs11","Succulent Karoo","Namaqualand Arid Grassland","LC","WP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"124","Terrestrial","Gm10","Grassland","Egoli Granite Grassland","CR","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"125","Terrestrial","FOz8","Forests","Sand Forest","LC","WP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"126","Terrestrial","Gm16","Grassland","KaNgwane Montane Grassland","EN","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"127","Terrestrial","SVcb20","Savanna","Makhado Sweet Bushveld","EN","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"128","Terrestrial","FOz4","Forests","Northern Mistbelt Forest","LC","WP","T2","T2.4","Temperate-boreal forests & woodlands","Warm temperate laurophyll forests"
"129","Terrestrial","FFd1","Fynbos","Namaqualand Sand Fynbos","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"130","Terrestrial","FFs31","Fynbos","Swartberg Altimontane Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"131","Terrestrial","Dg4","Desert","Kwaggarug Mountain Desert","LC","WP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"132","Terrestrial","Gs14","Grassland","Mthatha Moist Grassland","EN","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"133","Terrestrial","AZs3","Azonal Vegetation","Subtropical Dune Thicket","LC","WP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"134","Terrestrial","Gd2","Grassland","Amathole Mistbelt Grassland","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"135","Terrestrial","SVl15","Savanna","Northern Lebombo Bushveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"136","Terrestrial","SKk3","Succulent Karoo","Knersvlakte Quartz Vygieveld","LC","WP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"137","Terrestrial","FFs19","Fynbos","South Outeniqua Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"138","Terrestrial","SVmp8","Savanna","Mopane Gabbro Shrubland","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"139","Terrestrial","SKn3","Succulent Karoo","Namaqualand Blomveld","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"140","Terrestrial","SKr18","Succulent Karoo","Bushmanland Inselberg Shrubland","LC","PP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"141","Terrestrial","Gh7","Grassland","Winburg Grassy Shrubland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"142","Terrestrial","Gh9","Grassland","Western Free State Clay Grassland","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"143","Terrestrial","AZa7","Azonal Vegetation","Subtropical Alluvial Vegetation","LC","WP","T3","T3.1","Shrublands & shrubby woodlands","Seasonally dry tropical shrublands"
"144","Terrestrial","SVmp1","Savanna","Musina Mopane Bushveld","LC","MP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"145","Terrestrial","Dg2","Desert","Richtersberg Mountain Desert","LC","WP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"146","Terrestrial","SKr12","Succulent Karoo","Kosiesberg Succulent Shrubland","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"147","Terrestrial","SKs2","Succulent Karoo","Northern Richtersveld Yellow Duneveld","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"148","Terrestrial","SKk9","Succulent Karoo","Kobee Succulent Shrubland","LC","NP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"149","Terrestrial","SVkd1","Savanna","Gordonia Duneveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"150","Terrestrial","AZd4","Azonal Vegetation","Subtropical Seashore Vegetation","LC","WP","MT2","MT2.1","Supralittoral coastal systems","Coastal shrublands and grasslands"
"151","Terrestrial","AZi3","Azonal Vegetation","Southern Kalahari Mekgacha","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"152","Terrestrial","SKn6","Succulent Karoo","Kamiesberg Mountains Shrubland","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"153","Terrestrial","Dg10","Desert","Eastern Gariep Rocky Desert","LC","NP","T5","T5.5","Deserts and semi-deserts","Hyper-arid deserts"
"154","Terrestrial","FFs26","Fynbos","South Kammanassie Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"155","Terrestrial","SVmp6","Savanna","Lowveld Rugged Mopaneveld","LC","WP","T4","T4.1","Savannas and grasslands","Trophic savannas"
"156","Terrestrial","FFd2","Fynbos","Leipoldtville Sand Fynbos","EN","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"157","Terrestrial","SVl19","Savanna","Western Maputaland Sandy Bushveld","CR","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"158","Terrestrial","CB4","Indian Ocean Coastal Belt","Pondoland-Ugu Sandstone Coastal Sourveld","VU","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"159","Terrestrial","FRs3","Fynbos","Roggeveld Shale Renosterveld","LC","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"160","Terrestrial","Gd3","Grassland","Stormberg Plateau Grassland","LC","NP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"161","Terrestrial","SKv7","Succulent Karoo","Robertson Karoo","LC","PP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"162","Terrestrial","FFg1","Fynbos","Kamiesberg Granite Fynbos","LC","NP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"163","Terrestrial","CB1","Indian Ocean Coastal Belt","Maputaland Coastal Belt","EN","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"164","Terrestrial","Gs6","Grassland","KwaZulu-Natal Highland Thornveld","LC","PP","T4","T4.5","Savannas and grasslands","Temperate subhumid grasslands"
"165","Terrestrial","SKr4","Succulent Karoo","Lekkersing Succulent Shrubland","LC","MP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
"166","Terrestrial","SVl18","Savanna","Tembe Sandy Bushveld","LC","MP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"167","Terrestrial","FFs13","Fynbos","North Sonderend Sandstone Fynbos","LC","WP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"168","Terrestrial","FFd3","Fynbos","Hopefield Sand Fynbos","EN","PP","T3","T3.2","Shrublands & shrubby woodlands","Seasonally dry temperate heaths and shrublands"
"169","Terrestrial","CB5","Indian Ocean Coastal Belt","Transkei Coastal Belt","EN","PP","T4","T4.2","Savannas and grasslands","Pyric tussock savannas"
"170","Terrestrial","SKr3","Succulent Karoo","Goariep Mountain Succulent Shrubland","LC","WP","T5","T5.2","Deserts and semi-deserts","Thorny deserts and semi-deserts"
